Question,Answer
Arrays can only store elements of the same data type.,True
Linked lists have constant-time access to any element.,False
Stacks use the FIFO (First-In, First-Out) principle.,False
Queues are typically implemented using arrays.,True
Hash tables guarantee constant-time lookup for any key.,False
Binary trees can have at most two children per node.,True
A binary search tree guarantees O(n) time complexity for searching.,False
Depth-first search always visits all vertices in a graph before backtracking.,False
Breadth-first search is implemented using recursion.,False
Dijkstra's algorithm guarantees finding the shortest path in a weighted graph.,True
Kruskal's algorithm is used to find the shortest path between two nodes in a graph.,False
Prim's algorithm can only be applied to undirected graphs.,False
A heap is a type of binary tree.,True
A heap is always a complete binary tree.,False
In a max-heap, the parent node is always greater than or equal to its children.,True
A priority queue is a type of heap.,True
Depth-first search is typically implemented using a stack.,True
Breadth-first search is implemented using recursion.,False
QuickSort is an example of a divide-and-conquer algorithm.,True
MergeSort has a worst-case time complexity of O(n^2).,False
BubbleSort is efficient for sorting large datasets.,False
SelectionSort always performs better than InsertionSort.,False
RadixSort is a comparison-based sorting algorithm.,False
Binary search can only be applied to sorted arrays.,True
A linked list can be used to implement a stack.,True
A hash table guarantees constant-time insertion and deletion.,False
Breadth-first search is optimal for finding the shortest path in a weighted graph.,False
Floyd-Warshall algorithm is used to find the shortest path in a weighted graph with negative edges.,True
A graph with no cycles is called a tree.,True
In an undirected graph, each edge is associated with a direction.,False
A spanning tree of a graph must contain all vertices of the graph.,True
Bellman-Ford algorithm can handle graphs with negative-weight cycles.,True
A graph with no cycles is called acyclic.,True
A directed graph where there is a path from every vertex to every other vertex is called strongly connected.,True
In a binary search tree, the left child of a node always has a smaller value than the node itself.,True
In a binary search tree, the right child of a node always has a greater value than the node itself.,True
A self-balancing binary search tree always has a height of log(n).,False
AVL trees use rotations to maintain balance.,True
Red-Black trees guarantee O(1) time complexity for search, insertion, and deletion.,False
Depth-first search can be used to detect cycles in a graph.,True
Breadth-first search always finds the shortest path between two nodes in an unweighted graph.,True
A hash function always produces a unique hash value for each input.,False
Separate chaining and open addressing are two common collision resolution techniques in hash tables.,True
A trie is a tree-like data structure used for storing strings.,True
A trie is efficient for searching prefixes of words.,True
A suffix tree is used for finding all occurrences of a pattern in a string.,True
A suffix tree has a space complexity of O(n^2).,False
A suffix array is an efficient data structure for string searching.,True
Huffman coding is used for lossless data compression.,True
Huffman coding guarantees a unique prefix-free code for each character in the input.,True
