Question,Answer
Arrays can only store elements of the same data type.,TRUE
Linked lists have constant-time access to any element.,FALSE
"Stacks use the FIFO (First-In, First-Out) principle.",FALSE
Queues are typically implemented using arrays.,TRUE
Hash tables guarantee constant-time lookup for any key.,FALSE
Binary trees can have at most two children per node.,TRUE
A binary search tree guarantees O(n) time complexity for searching.,FALSE
Depth-first search always visits all vertices in a graph before backtracking.,FALSE
Breadth-first search is implemented using recursion.,FALSE
Dijkstra's algorithm guarantees finding the shortest path in a weighted graph.,TRUE
Kruskal's algorithm is used to find the shortest path between two nodes in a graph.,FALSE
Prim's algorithm can only be applied to undirected graphs.,FALSE
A heap is a type of binary tree.,TRUE
A heap is always a complete binary tree.,FALSE
"In a max-heap, the parent node is always greater than or equal to its children.",TRUE
A priority queue is a type of heap.,TRUE
Depth-first search is typically implemented using a stack.,TRUE
BubbleSort is efficient for sorting large datasets.,FALSE
SelectionSort always performs better than InsertionSort.,FALSE
RadixSort is a comparison-based sorting algorithm.,FALSE
Binary search can only be applied to sorted arrays.,TRUE
A linked list can be used to implement a stack.,TRUE
A hash table guarantees constant-time insertion and deletion.,FALSE
Floyd-Warshall algorithm is used to find the shortest path in a weighted graph with negative edges.,TRUE
A graph with no cycles is called a tree.,TRUE
"In an undirected graph, each edge is associated with a direction.",FALSE
A spanning tree of a graph must contain all vertices of the graph.,TRUE
Bellman-Ford algorithm can handle graphs with negative-weight cycles.,TRUE
A graph with no cycles is called acyclic.,TRUE
A directed graph where there is a path from every vertex to every other vertex is called strongly connected.,TRUE
"In a binary search tree, the left child of a node always has a smaller value than the node itself.",TRUE
"In a binary search tree, the right child of a node always has a greater value than the node itself.",TRUE
A self-balancing binary search tree always has a height of log(n).,FALSE
AVL trees use rotations to maintain balance.,TRUE
"Red-Black trees guarantee O(1) time complexity for search, insertion, and deletion.",FALSE
Depth-first search can be used to detect cycles in a graph.,TRUE
Breadth-first search always finds the shortest path between two nodes in an unweighted graph.,TRUE
A hash function always produces a unique hash value for each input.,FALSE
Separate chaining and open addressing are two common collision resolution techniques in hash tables.,TRUE
A trie is a tree-like data structure used for storing strings.,TRUE
A trie is efficient for searching prefixes of words.,TRUE
A suffix tree is used for finding all occurrences of a pattern in a string.,TRUE
A suffix tree has a space complexity of O(n^2).,FALSE
A suffix array is an efficient data structure for string searching.,TRUE
